technique,id,name,tactics,data_sources,data_sources_num
T1556,T1556.003,Pluggable Authentication Modules (T1556.003),defense-impairment|persistence|credential-access,File: File Modification|Logon Session: Logon Session Creation|Process: Process Creation,3
T1556,T1556.004,Network Device Authentication (T1556.004),defense-impairment|persistence|credential-access,File: File Modification|User Account: User Account Authentication,2
T1556,T1556.005,Reversible Encryption (T1556.005),defense-impairment|persistence|credential-access,Active Directory: Active Directory Object Modification|Command: Command Execution|Process: Process Creation,3
T1556,T1556.006,Multi-Factor Authentication (T1556.006),defense-impairment|persistence|credential-access,Active Directory: Active Directory Object Modification|Application Log: Application Log Content|Cloud Service: Cloud Service Modification|File: File Modification|Script: Script Execution|User Account: User Account Authentication|User Account: User Account Modification,7
T1556,T1556.007,Hybrid Identity (T1556.007),defense-impairment|persistence|credential-access,Active Directory: Active Directory Object Modification|Application Log: Application Log Content|Cloud Service: Cloud Service Modification|Logon Session: Logon Session Creation|Module: Module Load|User Account: User Account Modification,6
T1556,T1556.008,Network Provider DLL (T1556.008),defense-impairment|persistence|credential-access,File: File Creation|Module: Module Load|Process: Process Access|Windows Registry: Windows Registry Key Modification,4
T1556,T1556.009,Conditional Access Policies (T1556.009),defense-impairment|persistence|credential-access,Active Directory: Active Directory Object Modification|Application Log: Application Log Content|Cloud Service: Cloud Service Modification,3
T1557,T1557,Adversary-in-the-Middle (T1557),credential-access|collection,Application Log: Application Log Content|File: File Modification|Network Traffic: Network Connection Creation|Network Traffic: Network Traffic Content|Network Traffic: Network Traffic Flow|Windows Registry: Windows Registry Key Modification,6
T1557,T1557.001,Name Resolution Poisoning and SMB Relay (T1557.001),credential-access|collection,Network Traffic: Network Traffic Content|Network Traffic: Network Traffic Flow|Service: Service Creation|Windows Registry: Windows Registry Key Modification,4
T1557,T1557.002,ARP Cache Poisoning (T1557.002),credential-access|collection,Network Traffic: Network Connection Creation|Network Traffic: Network Traffic Content|Network Traffic: Network Traffic Flow,3
T1557,T1557.003,DHCP Spoofing (T1557.003),credential-access|collection,Application Log: Application Log Content|Network Traffic: Network Traffic Content|Network Traffic: Network Traffic Flow,3
T1557,T1557.004,Evil Twin (T1557.004),credential-access|collection,Application Log: Application Log Content|Network Traffic: Network Traffic Content|Network Traffic: Network Traffic Flow,3
T1558,T1558,Steal or Forge Kerberos Tickets (T1558),credential-access,Active Directory: Active Directory Credential Request|File: File Access|Logon Session: Logon Session Metadata|Process: Process Access,4
T1558,T1558.001,Golden Ticket (T1558.001),credential-access,Active Directory: Active Directory Credential Request|Logon Session: Logon Session Metadata|Process: Process Access,3
T1558,T1558.002,Silver Ticket (T1558.002),credential-access,Active Directory: Active Directory Credential Request|Logon Session: Logon Session Metadata|Process: Process Access,3
T1558,T1558.003,Kerberoasting (T1558.003),credential-access,Active Directory: Active Directory Credential Request|Logon Session: Logon Session Creation|Logon Session: Logon Session Metadata|Process: Process Access,4
T1558,T1558.004,AS-REP Roasting (T1558.004),credential-access,Active Directory: Active Directory Credential Request|Process: Process Creation,2
T1558,T1558.005,Ccache Files (T1558.005),credential-access,File: File Access|Process: Process Creation,2
T1559,T1559,Inter-Process Communication (T1559),execution,File: File Access|Named Pipe: Named Pipe Metadata|Process: Process Access|Process: Process Creation|Script: Script Execution,5
T1559,T1559.001,Component Object Model (T1559.001),execution,Module: Module Load|Process: Process Creation|Windows Registry: Windows Registry Key Access,3
T1559,T1559.002,Dynamic Data Exchange (T1559.002),execution,Module: Module Load|Process: Process Creation|Windows Registry: Windows Registry Key Access,3
T1559,T1559.003,XPC Services (T1559.003),execution,Named Pipe: Named Pipe Metadata|Process: Process Access|Process: Process Creation,3
T1560,T1560,Archive Collected Data (T1560),collection,Command: Command Execution|File: File Creation|Module: Module Load|Process: Process Creation,4
T1560,T1560.001,Archive via Utility (T1560.001),collection,Command: Command Execution|File: File Creation|Module: Module Load|Process: Process Creation,4
T1560,T1560.002,Archive via Library (T1560.002),collection,Command: Command Execution|File: File Creation|Module: Module Load|Process: Process Creation,4
T1560,T1560.003,Archive via Custom Method (T1560.003),collection,Command: Command Execution|File: File Creation|Process: Process Access|Process: Process Creation|Process: Process Modification,5
T1561,T1561,Disk Wipe (T1561),impact,Command: Command Execution|Drive: Drive Access|Drive: Drive Modification|Driver: Driver Load|Process: Process Creation|User Account: User Account Authentication|User Account: User Account Metadata,7
T1561,T1561.001,Disk Content Wipe (T1561.001),impact,Command: Command Execution|Drive: Drive Access|Drive: Drive Modification|Driver: Driver Load|Process: Process Creation|User Account: User Account Authentication|User Account: User Account Metadata,7
T1561,T1561.002,Disk Structure Wipe (T1561.002),impact,Command: Command Execution|Drive: Drive Access|Drive: Drive Modification|Driver: Driver Load|Process: Process Creation|User Account: User Account Authentication|User Account: User Account Metadata,7
T1563,T1563,Remote Service Session Hijacking (T1563),lateral-movement,Command: Command Execution|Logon Session: Logon Session Creation|Network Traffic: Network Connection Creation|Network Traffic: Network Traffic Content|Network Traffic: Network Traffic Flow|Process: Process Creation,6
T1563,T1563.001,SSH Hijacking (T1563.001),lateral-movement,Logon Session: Logon Session Creation|Network Traffic: Network Connection Creation|Process: Process Creation|Process: Process Metadata,4
T1563,T1563.002,RDP Hijacking (T1563.002),lateral-movement,Logon Session: Logon Session Creation|Network Traffic: Network Connection Creation|Process: Process Creation|Service: Service Creation,4
T1564,T1564,Hide Artifacts (T1564),stealth,Application Log: Application Log Content|Command: Command Execution|File: File Creation|File: File Metadata|Process: Process Creation|Windows Registry: Windows Registry Key Modification,6
T1564,T1564.001,Hidden Files and Directories (T1564.001),stealth,Command: Command Execution|File: File Creation|File: File Metadata|Process: Process Creation,4
T1564,T1564.002,Hidden Users (T1564.002),stealth,Command: Command Execution|File: File Modification|User Account: User Account Creation|User Account: User Account Metadata|Windows Registry: Windows Registry Key Modification,5
T1564,T1564.003,Hidden Window (T1564.003),stealth,Command: Command Execution|File: File Modification|Process: Process Creation|Process: Process Metadata|Windows Registry: Windows Registry Key Modification,5
T1564,T1564.004,NTFS File Attributes (T1564.004),stealth,File: File Creation|File: File Metadata|Process: OS API Execution|Process: Process Creation,4
T1564,T1564.005,Hidden File System (T1564.005),stealth,Command: Command Execution|File: File Modification|Firmware: Firmware Modification|Process: Process Creation|Windows Registry: Windows Registry Key Modification,5
T1564,T1564.006,Run Virtual Instance (T1564.006),stealth,Command: Command Execution|File: File Creation|File: File Modification|Image: Image Metadata|Process: Process Creation|Service: Service Creation|Windows Registry: Windows Registry Key Modification,7
T1564,T1564.007,VBA Stomping (T1564.007),stealth,File: File Creation|File: File Metadata|Process: Process Creation,3
T1564,T1564.008,Email Hiding Rules (T1564.008),stealth,Application Log: Application Log Content|Command: Command Execution|File: File Modification|Process: Process Creation,4
T1564,T1564.009,Resource Forking (T1564.009),stealth,Command: Command Execution|File: File Metadata|Process: Process Creation,3
T1564,T1564.010,Process Argument Spoofing (T1564.010),stealth,Process: Process Access|Process: Process Creation,2
T1564,T1564.011,Ignore Process Interrupts (T1564.011),stealth,Command: Command Execution|Process: Process Creation,2
T1564,T1564.012,File/Path Exclusions (T1564.012),stealth,File: File Access|File: File Creation|File: File Metadata|Process: Process Creation,4
T1564,T1564.013,Bind Mounts (T1564.013),stealth,File: File Creation|Process: OS API Execution|Process: Process Metadata,3
T1564,T1564.014,Extended Attributes (T1564.014),stealth,Command: Command Execution|File: File Metadata,2
T1565,T1565,Data Manipulation (T1565),impact,File: File Access|File: File Creation|File: File Metadata|File: File Modification|Network Traffic: Network Traffic Content|Process: OS API Execution,6
T1565,T1565.001,Stored Data Manipulation (T1565.001),impact,File: File Creation|File: File Deletion|File: File Metadata|File: File Modification,4
T1565,T1565.002,Transmitted Data Manipulation (T1565.002),impact,File: File Metadata|Network Traffic: Network Connection Creation|Network Traffic: Network Traffic Content|Network Traffic: Network Traffic Flow|Process: OS API Execution,5
T1565,T1565.003,Runtime Data Manipulation (T1565.003),impact,File: File Creation|File: File Metadata|File: File Modification|Process: OS API Execution|Windows Registry: Windows Registry Key Modification,5
T1566,T1566,Phishing (T1566),initial-access,Application Log: Application Log Content|File: File Creation|Logon Session: Logon Session Creation|Process: Process Creation,4
T1566,T1566.001,Spearphishing Attachment (T1566.001),initial-access,Application Log: Application Log Content|File: File Creation|Network Traffic: Network Connection Creation|Network Traffic: Network Traffic Flow|Process: Process Creation,5
T1566,T1566.002,Spearphishing Link (T1566.002),initial-access,Application Log: Application Log Content|Network Traffic: Network Connection Creation|Network Traffic: Network Traffic Content|Network Traffic: Network Traffic Flow|Process: Process Creation,5
T1566,T1566.003,Spearphishing via Service (T1566.003),initial-access,Application Log: Application Log Content|File: File Creation|Network Traffic: Network Connection Creation|Network Traffic: Network Traffic Content|Network Traffic: Network Traffic Flow|Process: Process Creation,6
T1566,T1566.004,Spearphishing Voice (T1566.004),initial-access,Application Log: Application Log Content,1
T1567,T1567,Exfiltration Over Web Service (T1567),exfiltration,Application Log: Application Log Content|Command: Command Execution|File: File Access|File: File Creation|Network Traffic: Network Connection Creation|Network Traffic: Network Traffic Content|Network Traffic: Network Traffic Flow|Process: Process Creation,8
T1567,T1567.001,Exfiltration to Code Repository (T1567.001),exfiltration,Command: Command Execution|File: File Access|Network Traffic: Network Connection Creation|Network Traffic: Network Traffic Content|Network Traffic: Network Traffic Flow|Process: Process Creation,6
T1567,T1567.002,Exfiltration to Cloud Storage (T1567.002),exfiltration,Command: Command Execution|File: File Access|Network Traffic: Network Connection Creation|Network Traffic: Network Traffic Content|Network Traffic: Network Traffic Flow|Process: Process Creation,6
T1567,T1567.003,Exfiltration to Text Storage Sites (T1567.003),exfiltration,Command: Command Execution|File: File Access|Network Traffic: Network Connection Creation|Network Traffic: Network Traffic Content|Network Traffic: Network Traffic Flow|Process: Process Creation,6
T1567,T1567.004,Exfiltration Over Webhook (T1567.004),exfiltration,Application Log: Application Log Content|Command: Command Execution|File: File Access|Network Traffic: Network Connection Creation|Network Traffic: Network Traffic Content|Network Traffic: Network Traffic Flow|Process: Process Creation,7
T1568,T1568,Dynamic Resolution (T1568),command-and-control,Network Traffic: Network Connection Creation|Network Traffic: Network Traffic Content|Network Traffic: Network Traffic Flow|Process: Process Creation,4
T1568,T1568.001,Fast Flux DNS (T1568.001),command-and-control,Network Traffic: Network Connection Creation|Network Traffic: Network Traffic Flow|Process: Process Creation,3
T1568,T1568.002,Domain Generation Algorithms (T1568.002),command-and-control,Network Traffic: Network Connection Creation|Network Traffic: Network Traffic Content|Network Traffic: Network Traffic Flow|Process: Process Creation,4
T1568,T1568.003,DNS Calculation (T1568.003),command-and-control,Network Traffic: Network Connection Creation|Network Traffic: Network Traffic Content|Network Traffic: Network Traffic Flow|Process: Process Creation,4
T1569,T1569,System Services (T1569),execution,File: File Modification|Process: Process Creation|Service: Service Creation|Windows Registry: Windows Registry Key Modification,4
T1569,T1569.001,Launchctl (T1569.001),execution,Command: Command Execution|File: File Modification|Process: Process Creation|Service: Service Creation,4
T1569,T1569.002,Service Execution (T1569.002),execution,Network Traffic: Network Connection Creation|Process: Process Creation|Service: Service Creation|Windows Registry: Windows Registry Key Modification,4
T1569,T1569.003,Systemctl (T1569.003),execution,Command: Command Execution|File: File Modification|Process: Process Creation|Service: Service Creation,4
T1570,T1570,Lateral Tool Transfer (T1570),lateral-movement,Command: Command Execution|File: File Creation|File: File Metadata|Network Share: Network Share Access|Process: Process Creation,5
T1571,T1571,Non-Standard Port (T1571),command-and-control,Application Log: Application Log Content|Network Traffic: Network Connection Creation|Network Traffic: Network Traffic Content|Network Traffic: Network Traffic Flow|Process: Process Creation,5
T1572,T1572,Protocol Tunneling (T1572),command-and-control,Application Log: Application Log Content|Network Traffic: Network Connection Creation|Network Traffic: Network Traffic Content|Network Traffic: Network Traffic Flow|Process: Process Creation,5
T1573,T1573,Encrypted Channel (T1573),command-and-control,Application Log: Application Log Content|Module: Module Load|Network Traffic: Network Connection Creation|Network Traffic: Network Traffic Content|Network Traffic: Network Traffic Flow|Process: Process Creation,6
T1573,T1573.001,Symmetric Cryptography (T1573.001),command-and-control,Application Log: Application Log Content|Module: Module Load|Network Traffic: Network Connection Creation|Network Traffic: Network Traffic Content|Network Traffic: Network Traffic Flow|Process: Process Creation,6
