technique,id,name,tactics,data_sources,data_sources_num
T1593,T1593,Search Open Websites/Domains (T1593),reconnaissance,,0
T1593,T1593.001,Social Media (T1593.001),reconnaissance,,0
T1593,T1593.002,Search Engines (T1593.002),reconnaissance,,0
T1593,T1593.003,Code Repositories (T1593.003),reconnaissance,,0
T1594,T1594,Search Victim-Owned Websites (T1594),reconnaissance,Application Log: Application Log Content,1
T1595,T1595,Active Scanning (T1595),reconnaissance,Network Traffic: Network Traffic Content|Network Traffic: Network Traffic Flow,2
T1595,T1595.001,Scanning IP Blocks (T1595.001),reconnaissance,Network Traffic: Network Traffic Content|Network Traffic: Network Traffic Flow,2
T1595,T1595.002,Vulnerability Scanning (T1595.002),reconnaissance,Network Traffic: Network Traffic Content|Network Traffic: Network Traffic Flow,2
T1595,T1595.003,Wordlist Scanning (T1595.003),reconnaissance,Network Traffic: Network Traffic Content,1
T1596,T1596,Search Open Technical Databases (T1596),reconnaissance,,0
T1596,T1596.001,DNS/Passive DNS (T1596.001),reconnaissance,,0
T1596,T1596.002,WHOIS (T1596.002),reconnaissance,,0
T1596,T1596.003,Digital Certificates (T1596.003),reconnaissance,,0
T1596,T1596.004,CDNs (T1596.004),reconnaissance,,0
T1596,T1596.005,Scan Databases (T1596.005),reconnaissance,,0
T1597,T1597,Search Closed Sources (T1597),reconnaissance,,0
T1597,T1597.001,Threat Intel Vendors (T1597.001),reconnaissance,,0
T1597,T1597.002,Purchase Technical Data (T1597.002),reconnaissance,,0
T1598,T1598,Phishing for Information (T1598),reconnaissance,Application Log: Application Log Content|Network Traffic: Network Traffic Content|Network Traffic: Network Traffic Flow,3
T1598,T1598.001,Spearphishing Service (T1598.001),reconnaissance,Application Log: Application Log Content|Network Traffic: Network Traffic Content|Network Traffic: Network Traffic Flow,3
T1598,T1598.002,Spearphishing Attachment (T1598.002),reconnaissance,Application Log: Application Log Content|Network Traffic: Network Traffic Content|Network Traffic: Network Traffic Flow,3
T1598,T1598.003,Spearphishing Link (T1598.003),reconnaissance,Application Log: Application Log Content|Network Traffic: Network Traffic Content|Network Traffic: Network Traffic Flow,3
T1598,T1598.004,Spearphishing Voice (T1598.004),reconnaissance,Application Log: Application Log Content,1
T1599,T1599,Network Boundary Bridging (T1599),defense-impairment,Network Traffic: Network Traffic Content|Network Traffic: Network Traffic Flow,2
T1599,T1599.001,Network Address Translation Traversal (T1599.001),defense-impairment,Network Traffic: Network Traffic Content|Network Traffic: Network Traffic Flow,2
T1600,T1600,Weaken Encryption (T1600),defense-impairment,File: File Modification|Module: Module Load|Network Traffic: Network Traffic Content,3
T1600,T1600.001,Reduce Key Space (T1600.001),defense-impairment,Command: Command Execution|File: File Modification|Network Traffic: Network Traffic Content,3
T1600,T1600.002,Disable Crypto Hardware (T1600.002),defense-impairment,Command: Command Execution|File: File Modification|Network Traffic: Network Traffic Content,3
T1601,T1601,Modify System Image (T1601),defense-impairment,Command: Command Execution|File: File Modification,2
T1601,T1601.001,Patch System Image (T1601.001),defense-impairment,Command: Command Execution|File: File Modification|Firmware: Firmware Modification,3
T1601,T1601.002,Downgrade System Image (T1601.002),defense-impairment,Command: Command Execution|File: File Metadata|File: File Modification,3
T1602,T1602,Data from Configuration Repository (T1602),collection,Network Traffic: Network Connection Creation|Network Traffic: Network Traffic Content,2
T1602,T1602.001,SNMP (MIB Dump) (T1602.001),collection,File: File Modification|Network Traffic: Network Connection Creation|Network Traffic: Network Traffic Content,3
T1602,T1602.002,Network Device Configuration Dump (T1602.002),collection,Command: Command Execution|Network Traffic: Network Connection Creation|Network Traffic: Network Traffic Content|User Account: User Account Authentication,4
T1606,T1606,Forge Web Credentials (T1606),credential-access,File: File Access|Logon Session: Logon Session Creation|Network Traffic: Network Traffic Content|Process: Process Access|Web Credential: Web Credential Creation|Web Credential: Web Credential Usage,6
T1606,T1606.001,Web Cookies (T1606.001),credential-access,File: File Access|File: File Creation|Logon Session: Logon Session Creation|Network Traffic: Network Connection Creation|Web Credential: Web Credential Usage,5
T1606,T1606.002,SAML Tokens (T1606.002),credential-access,Logon Session: Logon Session Creation|Logon Session: Logon Session Metadata|User Account: User Account Authentication|Web Credential: Web Credential Creation|Web Credential: Web Credential Usage,5
T1608,T1608,Stage Capabilities (T1608),resource-development,Internet Scan: Response Content,1
T1608,T1608.001,Upload Malware (T1608.001),resource-development,Internet Scan: Response Content,1
T1608,T1608.002,Upload Tool (T1608.002),resource-development,Internet Scan: Response Content,1
T1608,T1608.003,Install Digital Certificate (T1608.003),resource-development,Internet Scan: Response Content,1
T1608,T1608.004,Drive-by Target (T1608.004),resource-development,Internet Scan: Response Content,1
T1608,T1608.005,Link Target (T1608.005),resource-development,Internet Scan: Response Content,1
T1608,T1608.006,SEO Poisoning (T1608.006),resource-development,Internet Scan: Response Content,1
T1609,T1609,Container Administration Command (T1609),execution,Command: Command Execution|Process: Process Creation,2
T1610,T1610,Deploy Container (T1610),execution,Application Log: Application Log Content|Container: Container Start|Network Traffic: Network Traffic Content|Process: Process Creation,4
T1611,T1611,Escape to Host (T1611),privilege-escalation,Container: Container Creation|File: File Creation|Kernel: Kernel Module Load|Process: OS API Execution|Process: Process Creation|Volume: Volume Modification,6
T1612,T1612,Build Image on Host (T1612),stealth,Image: Image Creation|Network Traffic: Network Connection Creation,2
T1613,T1613,Container and Resource Discovery (T1613),discovery,Container: Container Enumeration|Pod: Pod Enumeration,2
T1614,T1614,System Location Discovery (T1614),discovery,Command: Command Execution|Network Traffic: Network Traffic Content|Process: OS API Execution|Process: Process Creation,4
T1614,T1614.001,System Language Discovery (T1614.001),discovery,Command: Command Execution|Process: OS API Execution|Process: Process Creation|Windows Registry: Windows Registry Key Access,4
T1615,T1615,Group Policy Discovery (T1615),discovery,Active Directory: Active Directory Object Access|Command: Command Execution|Network Traffic: Network Traffic Content|Process: Process Creation,4
T1619,T1619,Cloud Storage Object Discovery (T1619),discovery,Cloud Storage: Cloud Storage Access|Cloud Storage: Cloud Storage Enumeration,2
T1620,T1620,Reflective Code Loading (T1620),stealth,Module: Module Load|Process: OS API Execution|Process: Process Access|Process: Process Creation|Script: Script Execution,5
T1621,T1621,Multi-Factor Authentication Request Generation (T1621),credential-access,Application Log: Application Log Content|Logon Session: Logon Session Metadata|User Account: User Account Authentication,3
T1622,T1622,Debugger Evasion (T1622),stealth|discovery,File: File Access|Process: OS API Execution|Process: Process Creation,3
T1647,T1647,Plist File Modification (T1647),defense-impairment,Command: Command Execution|File: File Modification|Process: Process Creation,3
T1648,T1648,Serverless Execution (T1648),execution,Application Log: Application Log Content|Cloud Service: Cloud Service Modification,2
T1649,T1649,Steal or Forge Authentication Certificates (T1649),credential-access,Active Directory: Active Directory Credential Request|Active Directory: Active Directory Object Modification|Application Log: Application Log Content|Command: Command Execution|File: File Access|Windows Registry: Windows Registry Key Access,6
T1650,T1650,Acquire Access (T1650),resource-development,,0
T1651,T1651,Cloud Administration Command (T1651),execution,Command: Command Execution|Process: Process Creation|Script: Script Execution,3
T1652,T1652,Device Driver Discovery (T1652),discovery,Command: Command Execution|File: File Access|Process: Process Creation|Windows Registry: Windows Registry Key Modification,4
T1653,T1653,Power Settings (T1653),persistence,Command: Command Execution|File: File Modification|Process: Process Creation,3
T1654,T1654,Log Enumeration (T1654),discovery,Command: Command Execution|File: File Access|Process: Process Creation,3
T1657,T1657,Financial Theft (T1657),impact,Application Log: Application Log Content|Command: Command Execution|File: File Modification|Logon Session: Logon Session Creation|Process: Process Creation,5
T1659,T1659,Content Injection (T1659),initial-access|command-and-control,Command: Command Execution|File: File Creation|Network Traffic: Network Traffic Content|Process: Process Creation,4
T1665,T1665,Hide Infrastructure (T1665),command-and-control,Domain Name: Domain Registration|Internet Scan: Response Content|Internet Scan: Response Metadata|Network Traffic: Network Connection Creation|Network Traffic: Network Traffic Content|Process: Process Creation,6
T1666,T1666,Modify Cloud Resource Hierarchy (T1666),defense-impairment,Cloud Service: Cloud Service Modification,1
T1667,T1667,Email Bombing (T1667),impact,Application Log: Application Log Content|File: File Creation,2
T1668,T1668,Exclusive Control (T1668),persistence,Command: Command Execution|Process: Process Creation|Process: Process Termination,3
T1669,T1669,Wi-Fi Networks (T1669),initial-access,Firewall: Firewall Rule Modification|Network Traffic: Network Connection Creation|Network Traffic: Network Traffic Content|Network Traffic: Network Traffic Flow|User Account: User Account Authentication,5
T1671,T1671,Cloud Application Integration (T1671),persistence,Active Directory: Active Directory Object Modification|Application Log: Application Log Content|Cloud Service: Cloud Service Modification,3
T1673,T1673,Virtual Machine Discovery (T1673),discovery,Command: Command Execution|Process: Process Creation,2
T1674,T1674,Input Injection (T1674),execution,Command: Command Execution|Drive: Drive Creation|Process: Process Creation|Script: Script Execution,4
T1675,T1675,ESXi Administration Command (T1675),execution,Application Log: Application Log Content,1
T1677,T1677,Poisoned Pipeline Execution (T1677),execution,Cloud Service: Cloud Service Metadata|Cloud Service: Cloud Service Modification|Cloud Storage: Cloud Storage Access|Command: Command Execution|File: File Metadata,5
T1678,T1678,Delay Execution (T1678),stealth,Module: Module Load|Process: Process Creation|Script: Script Execution,3
T1679,T1679,Selective Exclusion (T1679),stealth,Command: Command Execution|File: File Modification|Process: Process Creation,3
T1680,T1680,Local Storage Discovery (T1680),discovery,Command: Command Execution|Process: Process Creation|User Account: User Account Authentication,3
T1681,T1681,Search Threat Vendor Data (T1681),reconnaissance,,0
T1682,T1682,Query Public AI Services (T1682),reconnaissance,,0
T1683,T1683,Generate Content (T1683),resource-development,,0
T1683,T1683.001,Written Content (T1683.001),resource-development,,0
T1683,T1683.002,Audio-Visual Content (T1683.002),resource-development,,0
T1684,T1684,Social Engineering (T1684),stealth,Application Log: Application Log Content|Command: Command Execution|File: File Access|File: File Creation|File: File Modification|Logon Session: Logon Session Creation|Network Traffic: Network Connection Creation|Process: Process Creation|User Account: User Account Authentication,9
T1684,T1684.001,Impersonation (T1684.001),stealth,Application Log: Application Log Content|Command: Command Execution|Logon Session: Logon Session Creation,3
T1684,T1684.002,Email Spoofing (T1684.002),stealth,Application Log: Application Log Content,1
T1685,T1685,Disable or Modify Tools (T1685),defense-impairment,Cloud Service: Cloud Service Modification|Command: Command Execution|Process: Process Creation|Process: Process Termination|Sensor Health: Host Status|Service: Service Creation|Service: Service Metadata|Service: Service Modification|Windows Registry: Windows Registry Key Modification,9
T1685,T1685.001,Disable or Modify Windows Event Log (T1685.001),defense-impairment,Application Log: Application Log Content|Process: Process Creation|Service: Service Metadata|Windows Registry: Windows Registry Key Modification,4
T1685,T1685.002,Disable or Modify Cloud Log (T1685.002),defense-impairment,Cloud Service: Cloud Service Disable|Cloud Service: Cloud Service Modification|User Account: User Account Modification,3
T1685,T1685.003,Modify or Spoof Tool UI (T1685.003),defense-impairment,Process: Process Creation|Sensor Health: Host Status|Service: Service Creation,3
T1685,T1685.004,Disable or Modify Linux Audit System Log (T1685.004),defense-impairment,Command: Command Execution|File: File Modification|Process: Process Modification|Service: Service Metadata,4
T1685,T1685.005,Clear Windows Event Logs (T1685.005),defense-impairment,Application Log: Application Log Content|File: File Deletion|Process: Process Creation,3
T1685,T1685.006,Clear Linux or Mac System Logs (T1685.006),defense-impairment,File: File Deletion|File: File Modification|Process: Process Creation,3
T1686,T1686,Disable or Modify System Firewall (T1686),defense-impairment,Command: Command Execution|Firewall: Firewall Rule Modification|Process: Process Creation|Windows Registry: Windows Registry Key Modification,4
T1686,T1686.001,Cloud Firewall (T1686.001),defense-impairment,Firewall: Firewall Disable|Firewall: Firewall Rule Modification,2
T1686,T1686.002,Network Device Firewall (T1686.002),defense-impairment,Command: Command Execution|Firewall: Firewall Rule Modification|Logon Session: Logon Session Creation|Network Traffic: Network Connection Creation,4
T1686,T1686.003,Windows Host Firewall (T1686.003),defense-impairment,Network Traffic: Network Connection Creation|Process: Process Creation|Service: Service Creation|Windows Registry: Windows Registry Key Creation|Windows Registry: Windows Registry Key Modification,5
T1687,T1687,Exploitation for Defense Impairment (T1687),defense-impairment,Application Log: Application Log Content|Cloud Service: Cloud Service Disable|Command: Command Execution|Driver: Driver Load|Driver: Driver Metadata|Firewall: Firewall Rule Modification|Instance: Instance Modification|Network Traffic: Network Traffic Content|Process: Process Creation|Process: Process Metadata|Service: Service Metadata,11
T1688,T1688,Safe Mode Boot (T1688),defense-impairment,Process: Process Creation|Windows Registry: Windows Registry Key Creation|Windows Registry: Windows Registry Key Modification,3
T1689,T1689,Downgrade Attack (T1689),defense-impairment,Command: Command Execution|Process: Process Creation|Process: Process Metadata|Windows Registry: Windows Registry Key Modification,4
T1690,T1690,Prevent Command History Logging (T1690),defense-impairment,Command: Command Execution|Process: Process Creation,2
